sample_id,SITE_ID,HORIZON,OC,SAND,SILT,CLAY
WHRC10659,YELL,A,93,35.9,41.1,23
WHRC10660,YELL,Btk1,6,41,37.7,21.3
WHRC10661,YELL,Bw,24,38.6,39.1,22.3
WHRC10662,PUUM,2Bw1,175,54.6,30,15.4
WHRC10663,YELL,Btk4,6,40.5,40.2,19.3
WHRC10664,YELL,Btk3,1,38.1,42.3,19.6
WHRC10665,PUUM,2Bw2,156,47.6,33.8,18.6
WHRC10666,YELL,Bt1,31,39.3,38.8,21.9
WHRC10667,YELL,Btk2,3,41.1,39.5,19.4
WHRC10668,YELL,Bt2,15,38.6,39,22.4
WHRC14844,OSBS,Bw3,0,97,1.3,1.7
WHRC14848,DSNY,Bh1,22,94.5,4,1.5
WHRC15013,MLBS,Oi,523,33.4,56.1,10.5
WHRC15014,MLBS,2C1,1,52.9,23,24.1
WHRC15015,NOGP,A1,63,17.2,56.8,26
WHRC15016,NOGP,A3,27,17.8,57.8,24.4
WHRC15017,NOGP,A2,48,17.2,57.4,25.4
WHRC15018,SCBI,2Bt4,1,14.1,51,34.9
WHRC15019,SCBI,2Bt5,1,10.1,52.3,37.6
WHRC15020,SERC,Bt1,3,52.7,16.1,31.2
WHRC15021,SERC,A,33,61.6,25.8,12.6
WHRC15022,UNDE,A,40,62.3,32,5.7
WHRC15023,UNDE,E,14,48.3,45.3,6.4
WHRC15024,UNDE,BS1,15,54.5,38.9,6.6
WHRC15025,UNDE,BS2,6,55.8,40.9,3.3
WHRC15026,UNDE,E/Bx,1,18.6,59.4,22
WHRC15027,UNDE,2Bt1,1,9,68.4,22.6
WHRC15028,UNDE,2Bt2,1,8.5,69.6,21.9
WHRC15029,UNDE,2C1,1,11.6,71.2,17.2
WHRC15030,UNDE,3C2,1,57.9,36.8,5.3
WHRC15031,UNDE,Bs,20,62.6,32.1,5.3
WHRC15032,WREF,Oi,555,NA,NA,NA
WHRC15033,WREF,Oa,519,NA,NA,NA
WHRC15034,WREF,Ac,15,49.5,36.9,13.6
WHRC15035,WREF,Bw,12,45.7,41.2,13.1
WHRC15036,WREF,BC,5,54.8,35.6,9.6
WHRC15037,WREF,2C1,4,78.1,16,5.9
WHRC15038,WREF,2C2,3,88.8,9.2,2
WHRC15039,WREF,3AB,5,86.6,12.1,1.3
WHRC15040,WREF,3Cg,6,64.5,30,5.5
